ProductName,CategoryID,SupplierID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
Producto Prueba 9845,3,,10 unidades,360.04,148,19,29,false
Producto Prueba 9846,4,5,paquete x 5,21.7,6,29,20,false
Producto Prueba 9847,5,1,,49.36,164,45,10,false
Producto Prueba 9848,8,4,caja x 20,359.49,205,19,15,false
Producto Prueba 9849,6,4,,44.77,233,33,25,false
Producto Prueba 9850,6,8,paquete x 5,425.54,167,35,11,false
Producto Prueba 9851,2,9,,361.88,234,15,25,false
Producto Prueba 9852,4,6,paquete x 5,308.71,127,44,29,false
Producto Prueba 9853,3,8,,413.91,170,36,5,false
Producto Prueba 9854,6,9,caja x 20,401.17,78,3,5,false
Producto Prueba 9855,2,8,caja x 20,264.01,90,46,18,false
Producto Prueba 9856,4,6,10 unidades,136.67,54,32,23,false
Producto Prueba 9857,4,4,,28.22,128,16,23,true
Producto Prueba 9858,7,,,174.52,280,17,17,false
Producto Prueba 9859,8,3,24 - 200 g pkgs,233.16,45,15,20,false
Producto Prueba 9860,8,9,,477.2,95,19,20,false
Producto Prueba 9861,4,6,12 - 500 g pkgs,197.25,264,24,12,false
Producto Prueba 9862,8,7,paquete x 5,82.55,127,13,8,false
Producto Prueba 9863,8,7,12 - 500 g pkgs,16.78,134,17,10,false
Producto Prueba 9864,2,4,12 - 500 g pkgs,461.98,241,41,14,false
Producto Prueba 9865,5,10,10 unidades,313.15,299,1,23,false
Producto Prueba 9866,5,5,caja x 20,475.05,4,3,8,false
Producto Prueba 9867,3,7,caja x 20,254.4,204,12,14,false
Producto Prueba 9868,4,,caja x 20,14.53,57,22,20,false
Producto Prueba 9869,7,4,,421.01,86,23,29,false
Producto Prueba 9870,8,2,24 - 200 g pkgs,360.46,158,2,2,false
Producto Prueba 9871,3,3,paquete x 5,29.93,213,4,26,false
Producto Prueba 9872,5,5,,476.48,145,42,8,false
Producto Prueba 9873,1,4,12 - 500 g pkgs,439.4,237,41,12,false
Producto Prueba 9874,8,3,paquete x 5,294.71,279,9,15,false
Producto Prueba 9875,1,4,10 unidades,375.68,175,24,25,false
Producto Prueba 9876,8,4,,248.79,220,12,30,false
Producto Prueba 9877,2,10,12 - 500 g pkgs,386.53,155,39,17,false
Producto Prueba 9878,6,1,24 - 200 g pkgs,248.49,198,30,13,false
Producto Prueba 9879,1,5,24 - 200 g pkgs,85.79,22,41,26,false
Producto Prueba 9880,4,6,,428.31,178,16,4,true
Producto Prueba 9881,2,3,paquete x 5,64.36,165,42,3,false
Producto Prueba 9882,5,6,12 - 500 g pkgs,151.8,30,39,30,true
Producto Prueba 9883,6,1,24 - 200 g pkgs,214.9,86,16,3,false
Producto Prueba 9884,5,4,24 - 200 g pkgs,279.99,127,14,30,false
Producto Prueba 9885,1,,caja x 20,243.23,116,32,2,false
Producto Prueba 9886,8,,,111.08,41,18,9,false
Producto Prueba 9887,4,5,24 - 200 g pkgs,314.91,134,18,10,true
Producto Prueba 9888,6,1,caja x 20,397.23,197,17,16,false
Producto Prueba 9889,3,1,paquete x 5,308.03,270,10,12,false
Producto Prueba 9890,2,4,12 - 500 g pkgs,499.84,220,34,13,false
Producto Prueba 9891,3,4,,282.29,134,2,29,false
Producto Prueba 9892,5,4,12 - 500 g pkgs,408.19,37,47,3,false
Producto Prueba 9893,4,6,24 - 200 g pkgs,300.79,197,45,28,false
Producto Prueba 9894,1,7,12 - 500 g pkgs,60.13,297,31,29,false
Producto Prueba 9895,6,5,paquete x 5,436.36,216,44,5,false
Producto Prueba 9896,4,6,24 - 200 g pkgs,69.39,14,29,29,false
Producto Prueba 9897,8,4,caja x 20,19.95,165,45,25,false
Producto Prueba 9898,8,8,12 - 500 g pkgs,16.68,294,16,26,false
Producto Prueba 9899,8,2,12 - 500 g pkgs,237.63,42,39,8,false
Producto Prueba 9900,6,8,12 - 500 g pkgs,277.22,127,41,19,false
Producto Prueba 9901,6,8,paquete x 5,333.45,296,27,14,false
Producto Prueba 9902,6,2,caja x 20,158.23,120,19,17,false
Producto Prueba 9903,3,2,24 - 200 g pkgs,26.63,61,13,11,false
Producto Prueba 9904,1,3,caja x 20,208.81,247,13,25,false
Producto Prueba 9905,8,3,caja x 20,407.97,190,19,30,false
Producto Prueba 9906,1,2,24 - 200 g pkgs,311.66,250,5,10,true
Producto Prueba 9907,6,4,caja x 20,31.13,10,43,20,false
Producto Prueba 9908,8,8,caja x 20,375.83,164,4,22,false
Producto Prueba 9909,5,6,24 - 200 g pkgs,305.36,170,50,3,false
Producto Prueba 9910,6,5,10 unidades,234.61,162,24,8,false
Producto Prueba 9911,5,3,,110.27,275,3,15,false
Producto Prueba 9912,2,6,12 - 500 g pkgs,252.95,16,28,24,false
Producto Prueba 9913,5,7,paquete x 5,280.86,278,37,18,false
Producto Prueba 9914,7,8,10 unidades,241.61,258,8,18,false
Producto Prueba 9915,2,6,10 unidades,335.94,157,10,28,false
Producto Prueba 9916,6,4,paquete x 5,34.51,295,4,27,false
Producto Prueba 9917,4,2,10 unidades,131.61,107,3,22,false
Producto Prueba 9918,4,9,,350.03,282,8,9,false
Producto Prueba 9919,7,2,12 - 500 g pkgs,260.11,80,44,27,true
Producto Prueba 9920,1,4,24 - 200 g pkgs,364.17,18,50,11,false
Producto Prueba 9921,3,5,caja x 20,453.56,225,4,1,false
Producto Prueba 9922,1,3,caja x 20,363.5,224,20,24,false
Producto Prueba 9923,8,7,24 - 200 g pkgs,43.66,117,25,2,false
Producto Prueba 9924,6,8,12 - 500 g pkgs,389.57,11,7,4,false
Producto Prueba 9925,5,4,paquete x 5,243.33,110,36,13,false
Producto Prueba 9926,8,2,12 - 500 g pkgs,449.49,123,37,2,false
Producto Prueba 9927,2,6,,456.98,290,32,16,false
Producto Prueba 9928,4,,paquete x 5,74.07,294,31,1,false
Producto Prueba 9929,2,3,caja x 20,167.93,30,49,27,false
Producto Prueba 9930,8,1,12 - 500 g pkgs,478.72,130,43,6,false
Producto Prueba 9931,2,,caja x 20,348.24,174,37,5,false
Producto Prueba 9932,1,,caja x 20,211.13,218,11,4,false
Producto Prueba 9933,8,6,10 unidades,344.19,139,33,8,false
Producto Prueba 9934,1,5,paquete x 5,115.75,274,20,18,false
Producto Prueba 9935,5,3,24 - 200 g pkgs,145.01,84,5,25,false
Producto Prueba 9936,1,2,10 unidades,261.12,210,32,17,false
Producto Prueba 9937,6,2,paquete x 5,378.8,17,4,30,false
Producto Prueba 9938,2,8,paquete x 5,379.29,17,0,3,false
Producto Prueba 9939,8,8,10 unidades,118.69,217,34,2,false
Producto Prueba 9940,6,10,paquete x 5,420.0,287,33,18,false
Producto Prueba 9941,5,4,paquete x 5,366.95,133,35,3,true
Producto Prueba 9942,3,9,,321.41,25,30,25,false
Producto Prueba 9943,3,10,,206.67,269,42,29,false
Producto Prueba 9944,8,,24 - 200 g pkgs,226.86,137,39,18,false
Producto Prueba 9945,8,3,,179.29,180,45,1,false
Producto Prueba 9946,1,4,24 - 200 g pkgs,195.9,139,46,18,false
Producto Prueba 9947,6,,12 - 500 g pkgs,372.11,93,14,9,false
Producto Prueba 9948,7,6,caja x 20,137.21,161,9,9,false
Producto Prueba 9949,7,4,caja x 20,343.97,233,10,18,false
Producto Prueba 9950,5,1,paquete x 5,344.81,166,4,19,false
Producto Prueba 9951,1,2,paquete x 5,113.24,111,41,25,false
Producto Prueba 9952,3,5,24 - 200 g pkgs,190.0,160,45,21,false
Producto Prueba 9953,6,9,caja x 20,411.73,5,29,27,false
Producto Prueba 9954,5,8,,178.07,109,20,11,false
Producto Prueba 9955,1,9,10 unidades,306.67,94,18,7,false
Producto Prueba 9956,8,4,paquete x 5,154.18,94,9,14,false
Producto Prueba 9957,4,,caja x 20,126.53,0,29,17,false
Producto Prueba 9958,3,6,10 unidades,206.18,83,20,15,false
Producto Prueba 9959,6,10,caja x 20,125.26,131,23,4,false
Producto Prueba 9960,8,1,12 - 500 g pkgs,55.99,202,48,28,false
Producto Prueba 9961,8,7,,281.09,48,2,6,false
Producto Prueba 9962,6,10,,5.94,5,5,21,false
Producto Prueba 9963,2,,caja x 20,137.47,276,10,3,false
Producto Prueba 9964,3,4,,212.23,267,49,13,false
Producto Prueba 9965,7,3,,220.8,170,44,16,false
Producto Prueba 9966,1,9,caja x 20,126.93,151,3,0,true
Producto Prueba 9967,7,3,,119.08,92,25,23,false
Producto Prueba 9968,3,10,12 - 500 g pkgs,229.89,246,6,23,false
Producto Prueba 9969,3,6,10 unidades,299.86,147,3,6,false
Producto Prueba 9970,2,3,12 - 500 g pkgs,75.03,148,19,2,false
Producto Prueba 9971,3,6,paquete x 5,471.82,250,6,18,true
Producto Prueba 9972,3,8,caja x 20,442.08,111,25,7,false
Producto Prueba 9973,3,4,caja x 20,303.78,300,31,16,false
Producto Prueba 9974,2,2,10 unidades,239.21,157,46,28,false
Producto Prueba 9975,8,3,12 - 500 g pkgs,26.14,166,31,19,false
Producto Prueba 9976,7,4,24 - 200 g pkgs,198.26,41,48,27,false
Producto Prueba 9977,2,3,12 - 500 g pkgs,188.95,177,31,4,false
Producto Prueba 9978,4,10,paquete x 5,97.82,165,11,15,false
Producto Prueba 9979,7,5,10 unidades,190.46,113,50,8,false
Producto Prueba 9980,5,7,paquete x 5,101.05,269,18,1,false
Producto Prueba 9981,2,8,caja x 20,152.44,164,47,8,false
Producto Prueba 9982,3,1,24 - 200 g pkgs,223.66,176,36,12,false
Producto Prueba 9983,5,5,10 unidades,301.0,224,32,10,false
Producto Prueba 9984,4,9,10 unidades,63.67,43,9,5,false
Producto Prueba 9985,6,4,,172.79,135,30,11,false
Producto Prueba 9986,8,9,24 - 200 g pkgs,493.85,30,38,7,false
Producto Prueba 9987,1,1,24 - 200 g pkgs,161.39,130,30,9,false
Producto Prueba 9988,7,3,12 - 500 g pkgs,465.0,251,34,10,false
Producto Prueba 9989,5,4,caja x 20,392.07,242,4,8,false
Producto Prueba 9990,5,1,paquete x 5,470.28,127,46,26,false
Producto Prueba 9991,6,9,12 - 500 g pkgs,489.55,136,20,22,false
Producto Prueba 9992,6,5,paquete x 5,257.68,142,46,23,false
Producto Prueba 9993,4,3,caja x 20,413.15,52,0,4,false
Producto Prueba 9994,7,1,10 unidades,333.22,198,27,23,false
Producto Prueba 9995,4,10,caja x 20,164.19,242,12,23,false
Producto Prueba 9996,7,4,12 - 500 g pkgs,65.3,206,41,19,false
Producto Prueba 9997,4,6,,491.31,101,22,6,false
Producto Prueba 9998,4,1,paquete x 5,317.48,103,41,30,false
Producto Prueba 9999,5,5,,5.87,99,15,4,false
Producto Prueba 10000,8,6,paquete x 5,229.44,108,43,16,false
Producto Prueba 10001,4,3,,253.51,282,16,1,false
Producto Prueba 10002,1,,caja x 20,231.52,68,43,17,false
Producto Prueba 10003,1,10,caja x 20,411.56,218,33,25,false
Producto Prueba 10004,1,5,10 unidades,151.28,4,45,15,false
Producto Prueba 10005,3,2,12 - 500 g pkgs,417.1,224,3,15,false
Producto Prueba 10006,6,3,24 - 200 g pkgs,182.8,120,30,10,false
Producto Prueba 10007,2,2,10 unidades,93.86,298,38,13,true
Producto Prueba 10008,8,2,12 - 500 g pkgs,84.29,8,40,28,false
Producto Prueba 10009,4,1,12 - 500 g pkgs,179.98,168,11,16,false
Producto Prueba 10010,8,9,paquete x 5,312.58,99,2,16,false
Producto Prueba 10011,8,2,caja x 20,110.33,91,45,26,false
Producto Prueba 10012,5,9,12 - 500 g pkgs,284.59,72,43,2,false
Producto Prueba 10013,8,6,24 - 200 g pkgs,152.94,234,32,15,false
Producto Prueba 10014,7,1,12 - 500 g pkgs,445.42,30,44,14,false
Producto Prueba 10015,7,5,12 - 500 g pkgs,446.25,209,27,5,false
Producto Prueba 10016,2,3,,431.2,78,7,21,false
Producto Prueba 10017,1,6,caja x 20,330.52,137,9,17,false
Producto Prueba 10018,3,2,caja x 20,145.77,123,30,2,false
Producto Prueba 10019,8,2,,248.17,115,42,1,false
Producto Prueba 10020,4,8,,121.25,14,47,25,false
Producto Prueba 10021,7,5,caja x 20,65.49,227,6,9,false
Producto Prueba 10022,1,2,caja x 20,478.45,47,33,28,false
Producto Prueba 10023,3,6,paquete x 5,186.68,40,42,14,false
Producto Prueba 10024,8,2,24 - 200 g pkgs,435.9,3,15,12,false
Producto Prueba 10025,6,7,caja x 20,498.68,83,25,22,false
Producto Prueba 10026,1,9,caja x 20,175.44,27,12,20,false
Producto Prueba 10027,5,9,paquete x 5,103.11,164,36,7,false
Producto Prueba 10028,2,10,10 unidades,104.69,114,21,13,false
Producto Prueba 10029,4,2,24 - 200 g pkgs,326.52,172,10,14,false
Producto Prueba 10030,2,2,12 - 500 g pkgs,242.84,240,33,0,false
Producto Prueba 10031,7,2,caja x 20,346.75,205,50,28,false
Producto Prueba 10032,5,7,paquete x 5,241.47,187,47,30,false
Producto Prueba 10033,2,9,10 unidades,364.37,201,10,29,false
Producto Prueba 10034,3,8,10 unidades,210.06,274,20,12,false
Producto Prueba 10035,2,1,,450.37,232,43,24,false
Producto Prueba 10036,5,2,10 unidades,471.02,33,2,22,false
Producto Prueba 10037,8,3,24 - 200 g pkgs,131.94,290,43,4,false
Producto Prueba 10038,1,7,24 - 200 g pkgs,158.72,282,26,18,false
Producto Prueba 10039,6,7,paquete x 5,191.32,128,46,16,false
Producto Prueba 10040,3,8,caja x 20,387.95,21,24,13,false
Producto Prueba 10041,2,8,,269.69,62,50,7,false
Producto Prueba 10042,6,2,,122.04,115,37,10,false
Producto Prueba 10043,1,2,10 unidades,297.09,88,24,26,false
Producto Prueba 10044,3,6,caja x 20,4.87,64,20,14,false
Producto Prueba 10045,1,8,12 - 500 g pkgs,130.17,284,50,29,false
Producto Prueba 10046,1,1,12 - 500 g pkgs,407.67,28,49,3,false
Producto Prueba 10047,5,4,12 - 500 g pkgs,310.87,193,25,28,false
Producto Prueba 10048,3,2,,478.2,214,24,9,false
Producto Prueba 10049,3,7,,74.65,63,39,8,false
Producto Prueba 10050,4,9,12 - 500 g pkgs,480.98,252,45,15,false
Producto Prueba 10051,1,4,10 unidades,424.93,37,36,20,false
Producto Prueba 10052,8,4,paquete x 5,113.58,112,47,0,false
Producto Prueba 10053,6,1,paquete x 5,68.98,207,46,20,false
Producto Prueba 10054,4,,caja x 20,362.67,8,17,16,false
Producto Prueba 10055,7,1,10 unidades,294.8,127,24,6,false
Producto Prueba 10056,1,9,,213.61,229,36,10,false
Producto Prueba 10057,2,6,24 - 200 g pkgs,158.09,73,44,9,false
Producto Prueba 10058,6,5,12 - 500 g pkgs,347.12,245,0,4,false
Producto Prueba 10059,3,2,,351.72,101,25,23,false
Producto Prueba 10060,2,5,,306.95,220,16,27,true
Producto Prueba 10061,7,9,caja x 20,174.42,131,50,17,false
Producto Prueba 10062,3,,12 - 500 g pkgs,433.33,177,43,9,false
Producto Prueba 10063,1,8,caja x 20,499.62,110,4,0,false
Producto Prueba 10064,4,3,24 - 200 g pkgs,494.53,135,29,26,false
Producto Prueba 10065,8,2,24 - 200 g pkgs,25.92,2,12,22,false
Producto Prueba 10066,3,5,,350.07,257,42,29,false
Producto Prueba 10067,7,3,24 - 200 g pkgs,268.66,247,30,11,false
Producto Prueba 10068,2,3,12 - 500 g pkgs,81.1,263,49,7,false
Producto Prueba 10069,1,5,24 - 200 g pkgs,278.52,208,8,11,false
Producto Prueba 10070,5,7,10 unidades,236.51,134,45,23,false
Producto Prueba 10071,2,3,24 - 200 g pkgs,91.78,123,25,29,false
Producto Prueba 10072,5,5,caja x 20,382.14,175,27,8,false
Producto Prueba 10073,7,7,10 unidades,161.76,89,14,21,false
Producto Prueba 10074,8,5,caja x 20,153.66,173,11,11,false
Producto Prueba 10075,6,1,24 - 200 g pkgs,242.66,101,34,21,false
Producto Prueba 10076,4,3,24 - 200 g pkgs,332.3,123,29,26,false
Producto Prueba 10077,4,6,,96.53,156,49,25,false
Producto Prueba 10078,7,5,caja x 20,149.56,72,38,3,false
Producto Prueba 10079,7,3,paquete x 5,302.91,57,38,10,false
Producto Prueba 10080,3,6,,183.48,134,49,29,false
Producto Prueba 10081,7,3,24 - 200 g pkgs,466.82,21,15,10,true
Producto Prueba 10082,2,10,12 - 500 g pkgs,181.4,1,35,30,false
Producto Prueba 10083,7,8,caja x 20,402.65,283,4,2,false
Producto Prueba 10084,1,6,caja x 20,119.47,81,4,29,false
Producto Prueba 10085,1,7,10 unidades,26.09,78,14,24,false
Producto Prueba 10086,1,7,12 - 500 g pkgs,290.88,16,37,7,false
Producto Prueba 10087,8,8,,81.7,281,44,30,false
Producto Prueba 10088,4,6,12 - 500 g pkgs,282.51,65,49,5,false
Producto Prueba 10089,5,2,caja x 20,459.54,133,46,12,false
Producto Prueba 10090,8,1,,35.71,15,39,9,false
Producto Prueba 10091,1,4,caja x 20,190.92,73,33,14,true
Producto Prueba 10092,7,10,paquete x 5,60.84,190,4,17,false
Producto Prueba 10093,4,5,,387.88,31,34,14,false
Producto Prueba 10094,2,7,,27.36,291,48,6,false
Producto Prueba 10095,3,7,10 unidades,88.1,160,37,8,false
Producto Prueba 10096,8,2,caja x 20,106.38,195,45,4,false
Producto Prueba 10097,6,10,paquete x 5,459.06,64,11,12,false
Producto Prueba 10098,4,5,caja x 20,19.82,257,3,2,false
Producto Prueba 10099,7,1,,482.26,282,17,18,false
Producto Prueba 10100,5,2,caja x 20,373.21,11,21,27,false
Producto Prueba 10101,1,7,10 unidades,444.39,270,28,18,false
Producto Prueba 10102,6,8,24 - 200 g pkgs,304.21,246,1,5,false
Producto Prueba 10103,2,1,caja x 20,206.08,159,22,5,false
Producto Prueba 10104,6,3,paquete x 5,56.01,49,2,21,false
Producto Prueba 10105,6,8,12 - 500 g pkgs,460.66,130,8,8,false
Producto Prueba 10106,1,3,,293.2,28,25,22,false
Producto Prueba 10107,2,9,12 - 500 g pkgs,302.09,193,1,26,false
Producto Prueba 10108,1,3,caja x 20,149.59,243,36,13,false
Producto Prueba 10109,3,9,,104.93,239,23,16,false
Producto Prueba 10110,6,2,10 unidades,480.25,100,42,22,false
Producto Prueba 10111,3,8,caja x 20,382.75,171,8,29,false
Producto Prueba 10112,7,2,12 - 500 g pkgs,462.43,129,21,2,false
Producto Prueba 10113,8,6,12 - 500 g pkgs,485.78,28,40,20,false
Producto Prueba 10114,3,9,paquete x 5,239.12,56,40,14,false
Producto Prueba 10115,1,4,paquete x 5,24.32,88,37,3,false
Producto Prueba 10116,2,5,caja x 20,374.65,16,5,2,false
Producto Prueba 10117,1,1,12 - 500 g pkgs,442.02,62,15,6,false
Producto Prueba 10118,7,10,paquete x 5,287.29,62,21,22,false
Producto Prueba 10119,6,8,,479.1,214,1,26,true
Producto Prueba 10120,1,8,10 unidades,303.56,242,38,28,false
Producto Prueba 10121,1,1,caja x 20,363.51,70,24,28,false
Producto Prueba 10122,3,8,,36.55,104,47,28,false
Producto Prueba 10123,2,1,paquete x 5,480.09,105,22,20,false
Producto Prueba 10124,1,5,24 - 200 g pkgs,250.48,191,34,10,false
Producto Prueba 10125,6,2,10 unidades,32.8,0,15,1,false
Producto Prueba 10126,6,8,12 - 500 g pkgs,73.73,71,48,26,false
Producto Prueba 10127,6,4,caja x 20,464.15,243,1,14,false
Producto Prueba 10128,4,4,,269.58,210,18,5,false
Producto Prueba 10129,2,9,caja x 20,270.93,173,2,30,false
Producto Prueba 10130,2,5,12 - 500 g pkgs,167.36,247,10,5,false
Producto Prueba 10131,2,6,24 - 200 g pkgs,221.58,233,0,6,false
Producto Prueba 10132,7,7,12 - 500 g pkgs,379.19,87,18,17,false
Producto Prueba 10133,3,10,,343.73,193,27,3,false
Producto Prueba 10134,4,5,10 unidades,485.53,231,37,22,false
Producto Prueba 10135,8,4,12 - 500 g pkgs,267.61,47,30,28,false
Producto Prueba 10136,8,2,12 - 500 g pkgs,157.56,295,23,23,false
Producto Prueba 10137,1,1,24 - 200 g pkgs,491.07,186,6,1,false
Producto Prueba 10138,1,1,,412.15,291,44,24,false
Producto Prueba 10139,7,2,caja x 20,165.02,158,8,11,false
Producto Prueba 10140,8,2,,65.54,224,40,3,false
Producto Prueba 10141,4,2,caja x 20,31.28,286,22,5,false
Producto Prueba 10142,4,7,,274.58,116,21,27,false
Producto Prueba 10143,8,2,paquete x 5,397.15,49,17,5,false
Producto Prueba 10144,2,9,10 unidades,487.84,156,4,7,false
Producto Prueba 10145,2,7,10 unidades,84.09,284,28,18,true
Producto Prueba 10146,7,7,12 - 500 g pkgs,222.18,298,4,18,false
Producto Prueba 10147,8,9,caja x 20,162.52,95,33,19,false
Producto Prueba 10148,7,5,caja x 20,321.79,256,49,4,false
Producto Prueba 10149,6,1,12 - 500 g pkgs,477.13,260,38,27,false
Producto Prueba 10150,7,1,caja x 20,280.04,282,24,24,true
Producto Prueba 10151,3,7,12 - 500 g pkgs,456.42,226,21,9,false
Producto Prueba 10152,5,7,10 unidades,254.61,259,34,4,false
Producto Prueba 10153,1,10,,468.95,176,21,17,false
Producto Prueba 10154,4,4,24 - 200 g pkgs,92.4,6,13,13,false
Producto Prueba 10155,1,3,paquete x 5,97.58,247,9,9,false
Producto Prueba 10156,8,5,24 - 200 g pkgs,227.98,59,4,30,false
Producto Prueba 10157,1,3,,82.26,51,42,29,false
Producto Prueba 10158,7,9,12 - 500 g pkgs,320.83,166,13,13,false
Producto Prueba 10159,5,2,12 - 500 g pkgs,125.97,298,23,27,false
Producto Prueba 10160,7,4,12 - 500 g pkgs,491.37,180,42,5,false
Producto Prueba 10161,7,6,caja x 20,195.74,61,26,25,false
Producto Prueba 10162,8,3,paquete x 5,295.38,189,3,27,false
Producto Prueba 10163,5,7,24 - 200 g pkgs,128.68,272,35,25,false
Producto Prueba 10164,6,6,24 - 200 g pkgs,390.8,231,29,29,false
Producto Prueba 10165,1,6,12 - 500 g pkgs,378.81,176,0,0,false
Producto Prueba 10166,3,9,12 - 500 g pkgs,426.66,0,42,23,false
Producto Prueba 10167,5,10,paquete x 5,94.68,142,42,3,false
Producto Prueba 10168,3,6,12 - 500 g pkgs,250.01,249,23,16,false
Producto Prueba 10169,2,2,caja x 20,387.59,95,3,9,false
Producto Prueba 10170,1,7,24 - 200 g pkgs,32.48,36,49,9,false
Producto Prueba 10171,6,6,10 unidades,330.26,282,32,11,false
Producto Prueba 10172,3,3,10 unidades,49.86,271,17,12,false
Producto Prueba 10173,3,9,caja x 20,379.2,115,11,6,false
Producto Prueba 10174,4,6,caja x 20,74.1,140,36,17,false
Producto Prueba 10175,7,5,,137.77,60,7,26,false
Producto Prueba 10176,4,3,12 - 500 g pkgs,364.84,149,24,26,false
Producto Prueba 10177,4,2,,59.07,52,18,26,false
Producto Prueba 10178,2,8,paquete x 5,143.25,201,23,23,false
Producto Prueba 10179,4,7,24 - 200 g pkgs,358.11,72,34,6,false
Producto Prueba 10180,1,1,caja x 20,201.3,124,24,5,false
Producto Prueba 10181,2,10,caja x 20,453.73,126,14,22,false
Producto Prueba 10182,7,2,12 - 500 g pkgs,272.56,234,13,12,true
Producto Prueba 10183,5,3,paquete x 5,30.61,142,30,10,false
Producto Prueba 10184,4,6,12 - 500 g pkgs,230.85,118,24,17,false
Producto Prueba 10185,1,3,paquete x 5,251.88,299,48,19,false
Producto Prueba 10186,2,8,24 - 200 g pkgs,291.94,202,28,11,false
Producto Prueba 10187,6,10,caja x 20,186.98,190,9,20,false
Producto Prueba 10188,5,7,10 unidades,361.63,143,24,18,false
Producto Prueba 10189,3,8,12 - 500 g pkgs,143.58,293,17,18,false
Producto Prueba 10190,8,6,,421.87,45,32,13,false
Producto Prueba 10191,8,5,24 - 200 g pkgs,480.63,250,12,14,false
Producto Prueba 10192,4,6,caja x 20,404.99,81,31,23,false
Producto Prueba 10193,3,7,,209.92,254,0,1,false
Producto Prueba 10194,1,7,24 - 200 g pkgs,324.31,234,22,16,false
Producto Prueba 10195,2,4,10 unidades,129.02,221,41,5,false
Producto Prueba 10196,2,5,caja x 20,240.1,184,11,22,false
Producto Prueba 10197,7,8,,461.88,142,14,16,false
Producto Prueba 10198,2,2,10 unidades,104.87,201,49,10,false
Producto Prueba 10199,6,3,24 - 200 g pkgs,31.45,289,41,27,false
Producto Prueba 10200,6,9,paquete x 5,42.15,133,2,13,false
Producto Prueba 10201,7,8,caja x 20,411.07,94,14,3,false
Producto Prueba 10202,5,9,12 - 500 g pkgs,173.87,221,20,15,false
Producto Prueba 10203,4,4,10 unidades,78.87,93,3,8,false
Producto Prueba 10204,5,5,paquete x 5,415.43,180,6,22,false
Producto Prueba 10205,8,6,24 - 200 g pkgs,390.07,148,45,2,false
Producto Prueba 10206,4,,24 - 200 g pkgs,495.61,208,10,0,false
Producto Prueba 10207,5,9,10 unidades,81.34,122,40,16,false
Producto Prueba 10208,6,5,10 unidades,357.8,111,5,19,false
Producto Prueba 10209,1,3,paquete x 5,75.97,263,12,11,false
Producto Prueba 10210,5,,paquete x 5,271.21,257,31,2,false
Producto Prueba 10211,6,1,10 unidades,200.57,132,13,9,false
Producto Prueba 10212,1,10,caja x 20,54.2,215,4,8,false
Producto Prueba 10213,1,1,,25.1,152,0,19,false
Producto Prueba 10214,3,9,10 unidades,115.11,13,20,27,false
Producto Prueba 10215,6,9,paquete x 5,99.24,116,7,6,false
Producto Prueba 10216,8,5,10 unidades,434.48,174,43,30,false
Producto Prueba 10217,6,2,,391.05,143,47,13,false
Producto Prueba 10218,2,7,,474.76,147,3,26,false
Producto Prueba 10219,4,1,24 - 200 g pkgs,285.5,173,48,15,false
Producto Prueba 10220,5,9,paquete x 5,81.92,130,0,0,false
Producto Prueba 10221,3,7,caja x 20,473.77,243,43,15,false
Producto Prueba 10222,5,8,,384.02,103,44,4,false
Producto Prueba 10223,3,7,caja x 20,132.01,190,8,1,false
Producto Prueba 10224,6,4,24 - 200 g pkgs,86.82,35,31,2,false
Producto Prueba 10225,2,3,caja x 20,179.18,276,28,11,true
Producto Prueba 10226,6,3,12 - 500 g pkgs,64.01,154,8,21,true
Producto Prueba 10227,3,5,12 - 500 g pkgs,94.13,129,21,15,false
Producto Prueba 10228,8,3,paquete x 5,248.41,52,19,20,false
Producto Prueba 10229,4,3,24 - 200 g pkgs,22.5,179,42,29,false
Producto Prueba 10230,4,3,10 unidades,256.16,65,34,21,true
Producto Prueba 10231,7,3,caja x 20,233.25,283,39,23,false
Producto Prueba 10232,8,1,caja x 20,413.87,114,31,5,false
Producto Prueba 10233,6,6,24 - 200 g pkgs,480.56,183,50,8,false
Producto Prueba 10234,8,6,10 unidades,127.65,169,7,6,false
Producto Prueba 10235,3,5,caja x 20,414.73,37,13,22,false
Producto Prueba 10236,7,3,paquete x 5,245.52,219,17,13,false
Producto Prueba 10237,7,5,10 unidades,435.24,284,25,5,false
Producto Prueba 10238,4,2,caja x 20,491.65,159,13,17,false
Producto Prueba 10239,2,8,,116.91,182,13,4,false
Producto Prueba 10240,1,5,paquete x 5,482.77,135,30,27,false
Producto Prueba 10241,5,9,caja x 20,100.97,152,33,8,false
Producto Prueba 10242,4,4,24 - 200 g pkgs,296.41,163,8,20,true
Producto Prueba 10243,4,3,caja x 20,344.38,255,6,3,false
Producto Prueba 10244,8,5,24 - 200 g pkgs,496.2,66,0,18,false
Producto Prueba 10245,5,6,12 - 500 g pkgs,214.98,119,6,8,false
Producto Prueba 10246,4,7,12 - 500 g pkgs,464.5,123,24,14,false
Producto Prueba 10247,2,8,,192.66,249,24,21,false
Producto Prueba 10248,7,5,caja x 20,97.59,10,44,5,false
Producto Prueba 10249,4,4,paquete x 5,258.32,264,31,8,false
Producto Prueba 10250,6,,paquete x 5,289.87,68,45,27,false
Producto Prueba 10251,2,,caja x 20,273.43,206,17,19,false
